"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZR_RADIO_100","Рація (100 м)","Radio (100 m)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)","Рація (100 м)",
"STR_OZR_RADIO_200","Рація (200 м)","Radio (200 m)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)","Рація (200 м)",
"STR_OZR_RADIO_500","Рація (500 м)","Radio (500 m)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)","Рація (500 м)",
"STR_OZR_RADIO_1000","Рація (1 км)","Radio (1 km)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)","Рація (1 км)",
"STR_OZR_RADIO_5000","Рація (5 км)","Radio (5 km)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)","Рація (5 км)",
"STR_OZR_RADIO_DESC","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","A handheld transceiver. How far it carries and how finely it tunes are printed on the case - the cheap sets are stuck in the crowded middle of the band, the good ones reach past where the cheap ones can hear.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.","Ручна рація. Дальність зв'язку і крок налаштування вказані на корпусі - дешеві моделі застрягли в тісній середині діапазону, хороші дістають туди, де дешевих уже не чути.",
"oz_input_radio_freq","Рація: клавіатура частоти","Radio: frequency keypad","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти","Рація: клавіатура частоти",
"STR_OZR_KEYPAD_HINT","Наберіть частоту, тоді TUNE","Type a frequency, then TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE","Наберіть частоту, тоді TUNE",
"STR_OZR_KEYPAD_OUT","Поза діапазоном цієї рації","Outside this set's band","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації","Поза діапазоном цієї рації",
"STR_OZR_PTT_LIVE","В ЕФIРI","ON AIR","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI","В ЕФIРI",
